Date ,Platforme,Amout_Spent,produit_Cible,Link_Click,CTR,Panier,Tx_Panier,Check_Out,Tx_Check_Out,Sales,Tx_Conv,Name_produit,Count,CA,Cout,Result
2022-02-28T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-01T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-02T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-03T00:00:00,Facebook,29.5,Patch,34,1.11,2,5.882352941,3,8.823529412,1,2.941176471,Patch,1,14.95,4.32,-18.87
2022-03-04T00:00:00,Facebook,29.5,Patch,51,1.41,10,19.60784314,3,5.882352941,1,1.960784314,Patch,1,16.95,4.33,-16.88
2022-03-05T00:00:00,Facebook,30.5,Patch,61,1.9,5,8.196721311,2,3.278688525,0,0,None,0,0,0,-30.5
2022-03-06T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-07T00:00:00,Facebook,25.6,Patch,39,1.09,5,12.82051282,1,2.564102564,0,0,None,0,0,0,-25.6
2022-03-08T00:00:00,Facebook,20.23,Patch,28,2.86,2,7.142857143,0,0,0,0,None,0,0,0,-20.23
2022-03-09T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-10T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-11T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-12T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-13T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-14T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-15T00:00:00,Facebook,6.64,aspirateur,5,0.57,0,0,0,0,0,0,None,0,0,0,-6.64
2022-03-16T00:00:00,Facebook,21.9,aspirateur,15,0.69,0,0,0,0,0,0,None,0,0,0,-21.9
2022-03-17T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-18T00:00:00,None,0,None,0,0,0,0,0,0,0,0,None,0,0,0,0
2022-03-19T00:00:00,Facebook,22.63,aspirateur,22,0.92,3,7.317073171,2,4.87804878,2,4.87804878,aspirateur,2,69.9,22,25.27
2022-03-19T00:00:00,Facebook,19.99,masseur,19,0.94,3,7.317073171,2,4.87804878,0,0,None,0,0,0,-19.99
2022-03-20T00:00:00,Facebook,20.8,aspirateur,24,0.96,3,4.411764706,2,2.941176471,0,1.470588235,None,0,0,0,-20.8
2022-03-20T00:00:00,Facebook,20.16,masseur,44,1.94,3,4.411764706,2,2.941176471,1,1.470588235,masseur,1,26.95,8.61,-1.82
2022-03-21T00:00:00,Facebook,19.31,aspirateur,19,0.7,2,4.347826087,1,2.173913043,1,2.173913043,aspirateur,1,34.95,11,4.64
2022-03-21T00:00:00,Facebook,18.56,masseur,27,0.92,2,4.347826087,1,2.173913043,0,0,None,0,0,0,-18.56
2022-03-22T00:00:00,Facebook,22.44,aspirateur,18,1.25,2,3.225806452,2,3.225806452,0,0,None,0,0,0,-22.44
2022-03-22T00:00:00,Facebook,19.94,masseur,44,1.65,2,3.225806452,2,3.225806452,2,3.225806452,masseur,2,63.9,17.62,26.34
2022-03-23T00:00:00,Facebook,46.05,masseur,81,1.25,4,4.938271605,2,2.469135802,2,2.469135802,masseur,2,63.9,17.62,0.23
2022-03-24T00:00:00,Facebook,46.05,masseur,50,0.81,3,6,0,0,0,0,None,0,0,0,-46.05
2022-03-25T00:00:00,Facebook,19.55,masseur,28,1.08,3,10.71428571,2,7.142857143,2,7.142857143,masseur,2,63.9,17.62,26.73
2022-03-26T00:00:00,Facebook,24.91,masseur,30,0.86,1,3.333333333,1,3.333333333,1,3.333333333,masseur,1,31.95,8.83,-1.79
2022-03-27T00:00:00,Facebook,19.34,masseur,38,1.49,1,2.631578947,1,2.631578947,0,0,None,0,0,0,-19.34
2022-03-28T00:00:00,Facebook,28.95,masseur,36,1.18,4,11.11111111,2,5.555555556,1,2.777777778,masseur,1,31.95,8.83,-5.83
2022-03-29T00:00:00,Facebook,28.49,masseur,29,0.94,3,10.34482759,3,10.34482759,2,6.896551724,masseur,2,63.9,17.62,17.79
2022-03-30T00:00:00,Facebook,28.63,masseur,44,1.27,0,0,0,0,0,0,None,0,0,0,-28.63
2022-03-31T00:00:00,Facebook,27.7,masseur,48,1.52,2,4.166666667,2,4.166666667,0,0,None,0,0,0,-27.7
2022-04-01T00:00:00,Facebook,22.7,masseur,18,0.72,2,11.11111111,2,11.11111111,1,5.555555556,masseur,1,31.95,8.83,0.42
2022-04-02T00:00:00,Facebook,22.82,masseur,36,1.66,2,5.555555556,2,5.555555556,1,2.777777778,masseur,1,31.95,8.83,0.3
2022-04-03T00:00:00,Facebook,20.56,masseur,33,1.42,1,3.03030303,0,0,0,0,None,0,0,0,-20.56
2022-04-04T00:00:00,Facebook,29.2,masseur,34,1.05,0,0,0,0,0,0,None,0,0,0,-29.2
2022-04-05T00:00:00,Facebook,33.22,masseur,41,1.1,3,7.317073171,1,2.43902439,1,2.43902439,masseur,1,31.95,8.83,-10.1
2022-04-06T00:00:00,Facebook,33.47,masseur,49,1.24,2,4.081632653,1,2.040816327,1,2.040816327,masseur,1,31.95,8.83,-10.35
2022-04-07T00:00:00,Facebook,32.43,masseur,26,0.7,2,7.692307692,1,3.846153846,0,0,None,0,0,0,-32.43
2022-04-08T00:00:00,Facebook,10.12,masseur,13,1.52,2,15.38461538,1,7.692307692,1,7.692307692,masseur,1,27.95,8.83,9
2022-04-08T00:00:00,Facebook,10.79,maskgreen,34,2.76,29,85.29411765,18,52.94117647,3,8.823529412,maskgreen,3,59.7,17.37,31.54
2022-04-08T00:00:00,Facebook,19.28,maskgreen,60,2.59,29,48.33333333,18,30,5,8.333333333,maskgreen,5,99.5,28.95,51.27
2022-04-09T00:00:00,Facebook,16.53,maskgreen,58,2.26,28,48.27586207,18,31.03448276,8,13.79310345,maskgreen,9,179.55,62.25,100.77
